# Si/A_cP46_223_dik.A params=10.355,0.1837,0.1172,0.3077 SG=223 [ANRL doi: 10.1016/j.commatsci.2017.01.017 (part 1), doi: 10.1016/j.commatsci.2018.10.043 (part 2)]
# AFLOW::AIMS BEGIN 
lattice_vector   10.35500000000000   0.00000000000000   0.00000000000000
lattice_vector    0.00000000000000  10.35500000000000   0.00000000000000
lattice_vector    0.00000000000000   0.00000000000000  10.35500000000000
atom_frac    0.25000000000000    0.50000000000000    0.00000000000000  Si 
atom_frac    0.75000000000000    0.50000000000000    0.00000000000000  Si 
atom_frac    0.00000000000000    0.25000000000000    0.50000000000000  Si 
atom_frac    0.00000000000000    0.75000000000000    0.50000000000000  Si 
atom_frac    0.50000000000000    0.00000000000000    0.25000000000000  Si 
atom_frac    0.50000000000000    0.00000000000000    0.75000000000000  Si 
atom_frac    0.18370000000000    0.18370000000000    0.18370000000000  Si 
atom_frac   -0.18370000000000   -0.18370000000000    0.18370000000000  Si 
atom_frac   -0.18370000000000    0.18370000000000   -0.18370000000000  Si 
atom_frac    0.18370000000000   -0.18370000000000   -0.18370000000000  Si 
atom_frac    0.68370000000000    0.68370000000000    0.31630000000000  Si 
atom_frac    0.31630000000000    0.31630000000000    0.31630000000000  Si 
atom_frac    0.68370000000000    0.31630000000000    0.68370000000000  Si 
atom_frac    0.31630000000000    0.68370000000000    0.68370000000000  Si 
atom_frac   -0.18370000000000   -0.18370000000000   -0.18370000000000  Si 
atom_frac    0.18370000000000    0.18370000000000   -0.18370000000000  Si 
atom_frac    0.18370000000000   -0.18370000000000    0.18370000000000  Si 
atom_frac   -0.18370000000000    0.18370000000000    0.18370000000000  Si 
atom_frac    0.31630000000000    0.31630000000000    0.68370000000000  Si 
atom_frac    0.68370000000000    0.68370000000000    0.68370000000000  Si 
atom_frac    0.31630000000000    0.68370000000000    0.31630000000000  Si 
atom_frac    0.68370000000000    0.31630000000000    0.31630000000000  Si 
atom_frac    0.00000000000000    0.11720000000000    0.30770000000000  Si 
atom_frac    0.00000000000000   -0.11720000000000    0.30770000000000  Si 
atom_frac    0.00000000000000    0.11720000000000   -0.30770000000000  Si 
atom_frac    0.00000000000000   -0.11720000000000   -0.30770000000000  Si 
atom_frac    0.30770000000000    0.00000000000000    0.11720000000000  Si 
atom_frac   -0.30770000000000    0.00000000000000    0.11720000000000  Si 
atom_frac    0.30770000000000    0.00000000000000   -0.11720000000000  Si 
atom_frac   -0.30770000000000    0.00000000000000   -0.11720000000000  Si 
atom_frac    0.11720000000000    0.30770000000000    0.00000000000000  Si 
atom_frac   -0.11720000000000    0.30770000000000    0.00000000000000  Si 
atom_frac    0.11720000000000   -0.30770000000000    0.00000000000000  Si 
atom_frac   -0.11720000000000   -0.30770000000000    0.00000000000000  Si 
atom_frac    0.61720000000000    0.50000000000000    0.19230000000000  Si 
atom_frac    0.38280000000000    0.50000000000000    0.19230000000000  Si 
atom_frac    0.61720000000000    0.50000000000000    0.80770000000000  Si 
atom_frac    0.38280000000000    0.50000000000000    0.80770000000000  Si 
atom_frac    0.50000000000000    0.80770000000000    0.38280000000000  Si 
atom_frac    0.50000000000000    0.80770000000000    0.61720000000000  Si 
atom_frac    0.50000000000000    0.19230000000000    0.38280000000000  Si 
atom_frac    0.50000000000000    0.19230000000000    0.61720000000000  Si 
atom_frac    0.80770000000000    0.38280000000000    0.50000000000000  Si 
atom_frac    0.80770000000000    0.61720000000000    0.50000000000000  Si 
atom_frac    0.19230000000000    0.38280000000000    0.50000000000000  Si 
atom_frac    0.19230000000000    0.61720000000000    0.50000000000000  Si 
# AFLOW::AIMS END 

