# CH/AB_oP48_61_3c_3c params=6.914,1.08128435059,1.38313566676,0.1297,0.5762,0.40803,0.1235,0.6328,0.54518,0.0057,0.4432,0.36289,0.2172,0.6275,0.346,0.2068,0.7225,0.5756,0.0095,0.4051,0.2704 SG#=61 [ANRL doi: 10.1016/j.commatsci.2017.01.017 (part 1), doi: 10.1016/j.commatsci.2018.10.043 (part 2)]
# AFLOW::AIMS BEGIN 
lattice_vector    6.91400000000000   0.00000000000000   0.00000000000000
lattice_vector    0.00000000000000   7.47599999997926   0.00000000000000
lattice_vector    0.00000000000000   0.00000000000000   9.56299999997864
atom_frac    0.12970000000000    0.57620000000000    0.40803000000000  C 
atom_frac    0.37030000000000   -0.57620000000000    0.90803000000000  C 
atom_frac   -0.12970000000000    1.07620000000000    0.09197000000000  C 
atom_frac    0.62970000000000   -0.07620000000000   -0.40803000000000  C 
atom_frac   -0.12970000000000   -0.57620000000000   -0.40803000000000  C 
atom_frac    0.62970000000000    0.57620000000000    0.09197000000000  C 
atom_frac    0.12970000000000   -0.07620000000000    0.90803000000000  C 
atom_frac    0.37030000000000    1.07620000000000    0.40803000000000  C 
atom_frac    0.12350000000000    0.63280000000000    0.54518000000000  C 
atom_frac    0.37650000000000   -0.63280000000000    1.04518000000000  C 
atom_frac   -0.12350000000000    1.13280000000000   -0.04518000000000  C 
atom_frac    0.62350000000000   -0.13280000000000   -0.54518000000000  C 
atom_frac   -0.12350000000000   -0.63280000000000   -0.54518000000000  C 
atom_frac    0.62350000000000    0.63280000000000   -0.04518000000000  C 
atom_frac    0.12350000000000   -0.13280000000000    1.04518000000000  C 
atom_frac    0.37650000000000    1.13280000000000    0.54518000000000  C 
atom_frac    0.00570000000000    0.44320000000000    0.36289000000000  C 
atom_frac    0.49430000000000   -0.44320000000000    0.86289000000000  C 
atom_frac   -0.00570000000000    0.94320000000000    0.13711000000000  C 
atom_frac    0.50570000000000    0.05680000000000   -0.36289000000000  C 
atom_frac   -0.00570000000000   -0.44320000000000   -0.36289000000000  C 
atom_frac    0.50570000000000    0.44320000000000    0.13711000000000  C 
atom_frac    0.00570000000000    0.05680000000000    0.86289000000000  C 
atom_frac    0.49430000000000    0.94320000000000    0.36289000000000  C 
atom_frac    0.21720000000000    0.62750000000000    0.34600000000000  H 
atom_frac    0.28280000000000   -0.62750000000000    0.84600000000000  H 
atom_frac   -0.21720000000000    1.12750000000000    0.15400000000000  H 
atom_frac    0.71720000000000   -0.12750000000000   -0.34600000000000  H 
atom_frac   -0.21720000000000   -0.62750000000000   -0.34600000000000  H 
atom_frac    0.71720000000000    0.62750000000000    0.15400000000000  H 
atom_frac    0.21720000000000   -0.12750000000000    0.84600000000000  H 
atom_frac    0.28280000000000    1.12750000000000    0.34600000000000  H 
atom_frac    0.20680000000000    0.72250000000000    0.57560000000000  H 
atom_frac    0.29320000000000   -0.72250000000000    1.07560000000000  H 
atom_frac   -0.20680000000000    1.22250000000000   -0.07560000000000  H 
atom_frac    0.70680000000000   -0.22250000000000   -0.57560000000000  H 
atom_frac   -0.20680000000000   -0.72250000000000   -0.57560000000000  H 
atom_frac    0.70680000000000    0.72250000000000   -0.07560000000000  H 
atom_frac    0.20680000000000   -0.22250000000000    1.07560000000000  H 
atom_frac    0.29320000000000    1.22250000000000    0.57560000000000  H 
atom_frac    0.00950000000000    0.40510000000000    0.27040000000000  H 
atom_frac    0.49050000000000   -0.40510000000000    0.77040000000000  H 
atom_frac   -0.00950000000000    0.90510000000000    0.22960000000000  H 
atom_frac    0.50950000000000    0.09490000000000   -0.27040000000000  H 
atom_frac   -0.00950000000000   -0.40510000000000   -0.27040000000000  H 
atom_frac    0.50950000000000    0.40510000000000    0.22960000000000  H 
atom_frac    0.00950000000000    0.09490000000000    0.77040000000000  H 
atom_frac    0.49050000000000    0.90510000000000    0.27040000000000  H 
# AFLOW::AIMS END 
