#=======================================================
#FHI-aims file: NOMAD_P1.txt
#Created using the Atomic Simulation Environment (ASE)
#=======================================================
lattice_vector 8.0353075441785879 0.0000000000000000 0.0000000000000000 
lattice_vector 0.0075893045028821 8.0273327783996447 0.0000000000000000 
lattice_vector -0.0538009198060332 -0.0072733159782527 22.6569712604631874 
atom 0.0017803027394882 7.9937291195580764 14.0757585728582324 Se
atom 4.0231819833266131 8.0197327927086945 14.1343453639067178 Se
atom 8.0330570152416136 0.0092528698089833 2.8292337423464531 Se
atom 4.0396074375961204 8.0266380679974443 2.9076200642813741 Se
atom 2.0197721802159490 2.0037120998375206 17.0243842477262994 Se
atom 6.0176622295165068 2.0004624735298409 17.0125475322493465 Se
atom 2.0211977241273620 2.0172522897262137 11.3516682060417544 Se
atom 2.0346515609608815 2.0508027828879505 5.6654560475412570 Se
atom 2.0142307910742572 2.0127598712023524 22.5939233180618011 Se
atom 6.0156651341794767 2.0167572438925228 11.3688182231026538 Se
atom 6.0264704532933591 2.0235004472600435 5.6418211335490698 Se
atom 6.0289307037572364 2.0094127127578258 22.6461810925887796 Se
atom 8.0280956949515350 4.0314426322689876 14.1284805900591017 Se
atom 8.0217775326295477 4.0360773754666166 2.9131980000493654 Se
atom 4.0121388191094214 4.0859862154950548 14.1244433327598724 Se
atom 4.0163090633717751 4.0082252475710023 2.8449518347128619 Se
atom 4.0220363091769649 4.0190362233686239 19.8128604740335916 Se
atom 8.0286321320831853 4.0161768058816962 19.7751016167494349 Se
atom 4.0281429822043879 3.9360202399659414 8.5415502052260450 Se
atom 8.0297275052076049 3.9815394916493663 8.5245705690781612 Se
atom 2.0123601714779720 6.0206894719749968 0.0054415404094348 Se
atom 2.0075589948672503 6.0092098190580883 17.0169006286346729 Se
atom 6.0159527981895566 6.0099720146460394 22.6512453933437321 Se
atom 6.0229304182016961 6.0058974189800285 17.0193423774372867 Se
atom 2.0215501527162489 6.0099078762284748 11.2793231562672620 Se
atom 2.0160012907385414 6.0307569558783998 5.6326957856067645 Se
atom 6.0156169223342104 6.0104290109053542 11.2834689407703959 Se
atom 6.0006310737643176 6.0143548600285053 5.6625665957012483 Se
atom 4.0219757229580813 8.0127734131728374 19.7818978213595571 Se
atom 4.0168839896265602 0.0053185919826490 8.5197226430199269 Se
atom 8.0313150409191092 8.0123047772757907 19.8091583143013139 Se
atom 8.0237582359391890 0.0217259056011826 8.5756232158440593 Se
atom 0.0625569584113918 0.0598222793469791 0.0295767217632417 Tm
atom 0.0042747032604276 0.0015314552319032 11.3182425069509716 Tm
atom 6.0375942919982926 1.9895801347119257 19.8636421426452827 Tm
atom 6.0776404166777445 1.9349304300990979 8.4968485523068669 Tm
atom 6.0615009390037340 1.9905432545291173 2.7429512166887875 Tm
atom 1.9918154971490172 1.9868921008564111 19.8872537198900723 Tm
atom 1.9537119884214464 1.9368210283600154 8.4519196493135542 Tm
atom 0.0040436881685324 3.9258115552158594 16.9145463342738793 Tm
atom 0.0043870368598952 4.0129297483216524 11.3215844198059976 Tm
atom 0.0211002354925603 4.0846301575627484 5.7084167337907363 Tm
atom 3.9532837268836327 3.9482432242303398 0.0313994803340021 Tm
atom 4.0165803353544653 3.9642290224162955 16.8881386521786538 Tm
atom 4.0161089038608502 4.0106846628868116 11.3194585100894756 Tm
atom 4.0000951787499055 4.0504857217832928 5.7570425853979774 Tm
atom 6.0790975393478055 6.0847374214583958 14.1510583267372905 Tm
atom 6.0477087353695289 6.0479740671895339 2.8154825073017080 Tm
atom 1.9961603486443047 6.0268893852172667 19.9052603994936703 Tm
atom 1.9555035405914967 6.0840096631434530 14.1571392487112568 Tm
atom 6.0431741702631232 6.0335403544899426 19.9183432519674142 Tm
atom 1.9863792098300033 6.0591320647382583 2.7872350738584966 Tm
atom 4.0103704889781735 0.0562966732150372 16.9258313509167948 Tm
atom 4.0140734801068332 0.0000711222002027 11.3228722457495898 Tm
atom 3.9906745038320341 7.9932734076725787 5.6963421194325754 Tm
