,compound,crystal structure type,target,IE(A),IE(B),Xp(A),Xp(B),IPF,x(A),x(B),coord_0,coord_1
252,AlAs,ZnS,nonmetal,5.985,9.814,1.61,2.18,3.1323,0.5,0.5,187.38,8.4825
253,AlP,ZnS,nonmetal,5.985,10.48,1.61,2.19,3.2544,0.5,0.5,222.01,8.8536
254,AlSb,ZnS,nonmetal,5.985,8.643,1.61,2.05,3.0394,0.5,0.5,141.02,7.7401
255,GaAs,ZnS,nonmetal,5.998,9.814,1.81,2.18,3.0747,0.5,0.5,163.61,7.4065
256,InAs,ZnS,nonmetal,5.786,9.814,1.78,2.18,2.9129,0.5,0.5,157.62,7.135
257,BP,ZnS,nonmetal,8.297,10.48,2.04,2.19,3.0684,0.5,0.5,165.2,6.588
258,BeS,ZnS,nonmetal,9.322,10.36,1.57,2.58,3.3607,0.5,0.5,229.75,11.045
259,BeSe,ZnS,nonmetal,9.322,9.752,1.57,2.55,3.1165,0.5,0.5,188.78,10.124
260,BeTe,ZnS,nonmetal,9.322,9.009,1.57,2.1,3.0271,0.5,0.5,156.49,8.098
261,CuBr,ZnS,nonmetal,7.726,11.81,1.9,2.96,2.7167,0.5,0.5,199.43,8.4647
262,CdPo,ZnS,nonmetal,8.994,8.416,1.69,2.0,3.0839,0.5,0.5,129.25,7.2992
263,CdTe,ZnS,nonmetal,8.994,9.009,1.69,2.1,2.8967,0.5,0.5,139.11,7.1989
264,CuF,ZnS,nonmetal,7.726,17.42,1.9,3.98,1.8501,0.5,0.5,295.49,7.7509
265,GaP,ZnS,nonmetal,5.998,10.48,1.81,2.19,3.1772,0.5,0.5,192.79,7.6885
266,GaSb,ZnS,nonmetal,5.998,8.643,1.81,2.05,3.0021,0.5,0.5,123.9,6.8003
267,HgSe,ZnS,nonmetal,10.43,9.752,2.0,2.55,3.3385,0.5,0.5,158.75,8.5132
268,HgTe,ZnS,nonmetal,10.43,9.009,2.0,2.1,3.2649,0.5,0.5,132.49,6.8563
269,MgTe,ZnS,nonmetal,7.645,9.009,1.31,2.1,3.0415,0.5,0.5,188.44,9.7514
270,ZnPo,ZnS,nonmetal,9.394,8.416,1.65,2.0,3.2869,0.5,0.5,141.1,7.9682
271,ZnS,ZnS,nonmetal,9.394,10.36,1.65,2.58,3.1606,0.5,0.5,205.59,9.8841
272,Al2O3,Al2O3,nonmetal,5.985,13.61,1.61,3.44,2.3038,0.4,0.6,265.05,8.204
273,Lu2S3,Al2O3,nonmetal,5.425,10.36,1.27,2.58,1.7066,0.4,0.6,144.23,5.7783
274,Rh2O3,Al2O3,nonmetal,7.459,13.61,2.28,3.44,1.9034,0.4,0.6,154.64,4.7863
275,Yb2S3,Al2O3,nonmetal,6.253,10.36,1.25,2.58,1.6881,0.4,0.6,144.95,5.8071
276,Ce2O3,La2O3,nonmetal,5.538,13.61,1.12,3.44,1.0627,0.4,0.6,175.76,5.44
277,La2O3,La2O3,nonmetal,5.577,13.61,1.1,3.44,1.0575,0.4,0.6,178.08,5.5118
278,Nd2O3,La2O3,nonmetal,5.525,13.61,1.14,3.44,1.0636,0.4,0.6,172.82,5.3491
279,AgBr,NaCl,nonmetal,7.576,11.81,1.93,2.96,2.5376,0.5,0.5,183.39,7.7837
280,AgCl,NaCl,nonmetal,7.576,12.96,1.93,3.16,2.4826,0.5,0.5,216.05,8.1296
281,AgF,NaCl,nonmetal,7.576,17.42,1.93,3.98,2.198,0.5,0.5,345.59,9.0653
282,BaO,NaCl,nonmetal,5.212,13.61,0.89,3.44,0.9924,0.5,0.5,206.54,7.6716
283,BaS,NaCl,nonmetal,5.212,10.36,0.89,2.58,1.4021,0.5,0.5,169.09,8.129
284,BaSe,NaCl,nonmetal,5.212,9.752,0.89,2.55,1.4708,0.5,0.5,157.16,8.4282
285,BaTe,NaCl,nonmetal,5.212,9.009,0.89,2.1,1.6332,0.5,0.5,148.94,7.7072
286,KBr,NaCl,nonmetal,4.34,11.81,0.82,2.96,1.7015,0.5,0.5,289.41,12.284
287,LiBr,NaCl,nonmetal,5.391,11.81,0.98,2.96,2.5818,0.5,0.5,367.45,15.596
288,NaBr,NaCl,nonmetal,5.138,11.81,0.93,2.96,1.9608,0.5,0.5,294.07,12.482
289,RbBr,NaCl,nonmetal,4.176,11.81,0.82,2.96,1.5406,0.5,0.5,262.04,11.122
290,CaS,NaCl,nonmetal,6.112,10.36,1.0,2.58,1.5858,0.5,0.5,170.2,8.1827
291,CaSe,NaCl,nonmetal,6.112,9.752,1.0,2.55,1.7177,0.5,0.5,163.36,8.7603
292,CaTe,NaCl,nonmetal,6.112,9.009,1.0,2.1,1.6766,0.5,0.5,136.08,7.0417
293,CdO,NaCl,nonmetal,8.994,13.61,1.69,3.44,1.8881,0.5,0.5,206.94,7.6865
294,CsF,NaCl,nonmetal,3.893,17.42,0.79,3.98,0.8771,0.5,0.5,336.91,8.8376
295,CsH,NaCl,nonmetal,3.893,13.59,0.79,2.2,1.0628,0.5,0.5,248.46,5.9194
296,LiF,NaCl,nonmetal,5.391,17.42,0.98,3.98,1.6988,0.5,0.5,526.03,13.798
297,NaF,NaCl,nonmetal,5.138,17.42,0.93,3.98,1.3524,0.5,0.5,441.28,11.575
298,RbF,NaCl,nonmetal,4.176,17.42,0.82,3.98,1.0365,0.5,0.5,383.58,10.062
299,KH,NaCl,nonmetal,4.34,13.59,0.82,2.2,1.3166,0.5,0.5,296.54,7.0647
300,LiH,NaCl,nonmetal,5.391,13.59,0.98,2.2,1.8835,0.5,0.5,354.96,8.4565
301,NaH,NaCl,nonmetal,5.138,13.59,0.93,2.2,1.527,0.5,0.5,303.25,7.2245
302,KI,NaCl,nonmetal,4.34,10.45,0.82,2.66,1.9005,0.5,0.5,253.1,12.33
303,LiI,NaCl,nonmetal,5.391,10.45,0.98,2.66,2.7771,0.5,0.5,309.46,15.076
304,NaI,NaCl,nonmetal,5.138,10.45,0.93,2.66,2.2224,0.5,0.5,260.96,12.713
305,RbI,NaCl,nonmetal,4.176,10.45,0.82,2.66,1.7686,0.5,0.5,235.53,11.474
306,MgO,NaCl,nonmetal,7.645,13.61,1.31,3.44,1.4368,0.5,0.5,203.16,7.5459
307,MgSe,NaCl,nonmetal,7.645,9.752,1.31,2.55,2.1463,0.5,0.5,155.81,8.3558
308,SrO,NaCl,nonmetal,5.695,13.61,0.95,3.44,1.0745,0.5,0.5,209.51,7.7816
309,SrSe,NaCl,nonmetal,5.695,9.752,0.95,2.55,1.5769,0.5,0.5,157.86,8.4655
310,SrTe,NaCl,nonmetal,5.695,9.009,0.95,2.1,1.7555,0.5,0.5,149.98,7.7612
311,KCl,NaCl,nonmetal,4.34,12.96,0.82,3.16,1.5711,0.5,0.5,321.81,12.109
312,CaO,NaCl,nonmetal,6.112,13.61,1.0,3.44,1.1573,0.5,0.5,214.37,7.9622
313,NaCl,NaCl,nonmetal,5.138,12.96,0.93,3.16,1.8799,0.5,0.5,339.52,12.775
314,KF,NaCl,nonmetal,4.34,17.42,0.82,3.98,1.0869,0.5,0.5,402.23,10.551
315,TlBr,NaCl,nonmetal,6.108,11.81,1.62,2.96,3.5597,0.5,0.5,306.48,13.008
316,CoO,NaCl,nonmetal,7.88,13.61,1.88,3.44,2.0196,0.5,0.5,198.99,7.3909
317,FeO,NaCl,nonmetal,7.902,13.61,1.83,3.44,1.8365,0.5,0.5,185.89,6.9044
318,GdN,NaCl,nonmetal,6.15,14.53,1.2,3.04,0.9402,0.5,0.5,165.41,4.7637
319,EuS,NaCl,nonmetal,5.67,10.36,1.18,2.58,1.4308,0.5,0.5,130.14,6.2567
320,EuSe,NaCl,nonmetal,5.67,9.752,1.18,2.55,1.4959,0.5,0.5,120.56,6.4653
321,MnO,NaCl,nonmetal,7.434,13.61,1.55,3.44,1.7571,0.5,0.5,209.98,7.7993
322,MnSe,NaCl,nonmetal,7.434,9.752,1.55,2.55,2.177,0.5,0.5,133.57,7.163
323,SiC,SiC,nonmetal,8.151,11.26,1.9,2.55,2.732,0.5,0.5,182.31,7.3333
324,Eu4As3,iTh3P,nonmetal,5.67,9.814,1.18,2.18,1.2931,0.571,0.429,105.55,5.5686
325,Eu3S4,Th3P4,nonmetal,5.67,10.36,1.18,2.58,1.3278,0.429,0.571,120.77,5.0843
326,CoF2,TiO2,nonmetal,7.88,17.42,1.88,3.98,3.5631,0.333,0.667,575.13,11.309
327,FeF2,TiO2,nonmetal,7.902,17.42,1.83,3.98,3.4804,0.333,0.667,577.13,11.348
328,MnF2,TiO2,nonmetal,7.434,17.42,1.55,3.98,3.0701,0.333,0.667,601.06,11.819
329,NiF2,TiO2,nonmetal,7.639,17.42,1.91,3.98,3.4912,0.333,0.667,554.67,10.907
330,VF2,TiO2,nonmetal,6.746,17.42,1.63,3.98,2.2564,0.333,0.667,420.07,8.2601
331,MgF2,TiO2,nonmetal,7.645,17.42,1.31,3.98,2.4486,0.333,0.667,567.21,11.153
332,GeO2,TiO2,nonmetal,7.897,13.61,2.01,3.44,2.8633,0.333,0.667,263.87,7.3469
333,SnO2,TiO2,nonmetal,7.344,13.61,1.96,3.44,2.6191,0.333,0.667,247.52,6.8917
334,TiO2,TiO2,nonmetal,6.827,13.61,1.54,3.44,1.5936,0.333,0.667,191.68,5.3369
335,AgI,ZnO,nonmetal,7.576,10.45,1.93,2.66,2.8516,0.5,0.5,161.35,7.8604
336,AlN,ZnO,nonmetal,5.985,14.53,1.61,3.04,2.3408,0.5,0.5,306.95,8.8398
337,BeO,ZnO,nonmetal,9.322,13.61,1.57,3.44,2.8158,0.5,0.5,332.21,12.339
338,CdSe,ZnO,nonmetal,8.994,9.752,1.69,2.55,2.845,0.5,0.5,160.1,8.5855
339,GaN,ZnO,nonmetal,5.998,14.53,1.81,3.04,2.4843,0.5,0.5,289.77,8.3451
340,InN,ZnO,nonmetal,5.786,14.53,1.78,3.04,2.2947,0.5,0.5,272.17,7.8381
341,ZnO,ZnO,nonmetal,9.394,13.61,1.65,3.44,2.7009,0.5,0.5,303.21,11.262
342,CdF2,CaF2,nonmetal,8.994,17.42,1.69,3.98,2.7845,0.333,0.667,499.98,9.8315
343,CeO2,CaF2,nonmetal,5.538,13.61,1.12,3.44,1.0431,0.333,0.667,172.51,4.8033
344,SrCl2,CaF2,nonmetal,5.695,12.96,0.95,3.16,2.1272,0.333,0.667,376.09,10.608
345,YbF2,CaF2,nonmetal,6.253,17.42,1.25,3.98,1.5161,0.333,0.667,368.06,7.2373
346,ThO2,CaF2,nonmetal,6.083,13.61,1.3,3.44,1.1226,0.333,0.667,159.96,4.4536
347,NpO2,CaF2,nonmetal,6.265,13.61,1.36,3.44,1.2882,0.333,0.667,175.45,4.8851
348,PrO2,CaF2,nonmetal,5.461,13.61,1.13,3.44,1.0471,0.333,0.667,171.64,4.7791
349,PuO2,CaF2,nonmetal,6.059,13.61,1.28,3.44,1.3188,0.333,0.667,190.85,5.3138
350,TbO2,CaF2,nonmetal,5.864,13.61,1.21,3.44,1.1091,0.333,0.667,169.79,4.7274
351,UO2,CaF2,nonmetal,6.193,13.61,1.38,3.44,1.2053,0.333,0.667,161.78,4.5045
352,AmO2,CaF2,nonmetal,5.991,13.61,1.3,3.44,1.4571,0.333,0.667,207.62,5.7807
353,CmO2,CaF2,nonmetal,6.022,13.61,1.3,3.44,1.7014,0.333,0.667,242.43,6.7499
354,EuF2,CaF2,nonmetal,5.67,17.42,1.18,3.98,1.4587,0.333,0.667,375.13,7.3763
355,PbF2,CaF2,nonmetal,7.416,17.42,2.33,3.98,3.5918,0.333,0.667,467.79,9.1984
356,CsBr,CsCl,nonmetal,3.893,11.81,0.79,2.96,1.158,0.5,0.5,204.45,8.6777
357,CsCl,CsCl,nonmetal,3.893,12.96,0.79,3.16,1.0711,0.5,0.5,227.73,8.5688
358,TlCl,CsCl,nonmetal,6.108,12.96,1.62,3.16,3.2943,0.5,0.5,341.55,12.852
359,Cu3N,iReO3,nonmetal,7.726,14.53,1.9,3.04,1.8149,0.75,0.25,201.66,11.615
